"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13077","Verify success message for entering correct email in forgot password screen","","Tue Oct 07 10:06:09 IST 2025","passed","Tue Oct 07 10:06:22 IST 2025","","Forgot Password all scenarios in English","",""
"","11034","Verify  message entering inccorect email in forgot password screen","","Tue Oct 07 11:38:37 IST 2025","passed","Tue Oct 07 11:38:48 IST 2025","","Forgot Password all scenarios in spanish","",""
"","117280","SOAP NOTE  & Transcript Verification for the First conversation","","Tue Oct 07 12:24:17 IST 2025","passed","Tue Oct 07 12:26:15 IST 2025","","New patient E2E flow -Spnish","",""
"","81369","Referall leter genaration and Regenaration","","Tue Oct 07 11:02:13 IST 2025","passed","Tue Oct 07 11:03:34 IST 2025","","Existing patient E2E flow in English","",""
"","21449","Verify  message when the email is multitenent{TC08}","","Tue Oct 07 10:08:00 IST 2025","passed","Tue Oct 07 10:08:21 IST 2025","","Login screen all senarios in English","",""
"","1","Verify success message for entering correct email in forgot password screen","","Tue Oct 07 11:39:00 IST 2025","skipped","Tue Oct 07 11:39:00 IST 2025","","Forgot Password all scenarios in spanish","",""
"","124891","Thiord Conversation {makingh the converastion as draft and completing the draft Transcript }","","Tue Oct 07 11:22:46 IST 2025","passed","Tue Oct 07 11:24:51 IST 2025","","new patient E2E flow -English ","",""
"","12340","Verify  message not entering  email in forgot password screen","","Tue Oct 07 10:05:57 IST 2025","passed","Tue Oct 07 10:06:09 IST 2025","","Forgot Password all scenarios in English","",""
"","138244","Second Conversation Intiation ","","Tue Oct 07 12:26:15 IST 2025","passed","Tue Oct 07 12:28:33 IST 2025","","New patient E2E flow -Spnish","",""
"","268638","Recording the conversation for multiple times offline ","","Tue Oct 07 12:19:03 IST 2025","passed","Tue Oct 07 12:23:32 IST 2025","","New patient E2E flow -Spnish","",""
"","10869","Verify  message entering inccorect email in forgot password screen","","Tue Oct 07 10:05:46 IST 2025","passed","Tue Oct 07 10:05:57 IST 2025","","Forgot Password all scenarios in English","",""
"","13874","Offline mode app kill state verification","","Tue Oct 07 11:14:21 IST 2025","passed","Tue Oct 07 11:14:35 IST 2025","","new patient E2E flow -English ","",""
"","9065","Verify error message( when email is not provided {TC05}","","Tue Oct 07 10:07:16 IST 2025","passed","Tue Oct 07 10:07:25 IST 2025","","Login screen all senarios in English","",""
"","423464","Thiord Conversation {makingh the converastion as draft and completing the draft Transcript }","","Tue Oct 07 12:30:43 IST 2025","passed","Tue Oct 07 12:37:47 IST 2025","","New patient E2E flow -Spnish","",""
"","160634","Intiating the conversation for a Newly created Patient","","Tue Oct 07 11:06:59 IST 2025","passed","Tue Oct 07 11:09:40 IST 2025","","new patient E2E flow -English ","",""
"","13634","Offline mode app kill state verification","","Tue Oct 07 10:42:24 IST 2025","passed","Tue Oct 07 10:42:37 IST 2025","","Existing patient E2E flow in English","",""
"","156178","SOAP NOTE  & Transcript Verification for the second conversation","","Tue Oct 07 10:48:21 IST 2025","passed","Tue Oct 07 10:50:57 IST 2025","","Existing patient E2E flow in English","",""
"","170886","SOAP NOTE  & Transcript Verification for the Third Conversation","","Tue Oct 07 11:24:51 IST 2025","passed","Tue Oct 07 11:27:42 IST 2025","","new patient E2E flow -English ","",""
